training_mode,model_name,feature_variant,split,ticker,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
pooled,logreg,base,test,AAPL,128,33,0.484375,0.4812807881773399,0.5217391304347826,0.4827586206896552
pooled,logreg,base_plus_all_lags,test,AAPL,128,153,0.6171875,0.6145320197044335,0.6474820143884892,0.6443349753694582
pooled,logreg,base_plus_alt_lags,test,AAPL,128,105,0.5859375,0.5830049261083744,0.6187050359712231,0.6110837438423645
pooled,logreg,base_plus_price_lags,test,AAPL,128,81,0.4921875,0.48694581280788174,0.5390070921985816,0.5352216748768474
pooled,random_forest,base,test,AAPL,128,33,0.5625,0.5527093596059114,0.6216216216216216,0.5524630541871921
pooled,random_forest,base_plus_all_lags,test,AAPL,128,153,0.59375,0.5753694581280788,0.675,0.5677339901477833
pooled,random_forest,base_plus_alt_lags,test,AAPL,128,105,0.5859375,0.5637931034482759,0.6787878787878788,0.5807881773399015
pooled,random_forest,base_plus_price_lags,test,AAPL,128,81,0.53125,0.5182266009852217,0.6052631578947368,0.566256157635468
pooled,logreg,base,test,ALL,256,33,0.4765625,0.4821373670294534,0.464,0.4909303326569514
pooled,logreg,base_plus_all_lags,test,ALL,256,153,0.578125,0.5810736026563366,0.5846153846153846,0.57726126790875
pooled,logreg,base_plus_alt_lags,test,ALL,256,105,0.53125,0.5352026071450532,0.53125,0.5312058045870995
pooled,logreg,base_plus_price_lags,test,ALL,256,81,0.48828125,0.49157596999323616,0.490272373540856,0.5420894053987579
pooled,random_forest,base,test,ALL,256,33,0.578125,0.5743097829428765,0.6142857142857143,0.5471315255487917
pooled,random_forest,base_plus_all_lags,test,ALL,256,153,0.54296875,0.5344954805386459,0.6006825938566553,0.5567853409580028
pooled,random_forest,base_plus_alt_lags,test,ALL,256,105,0.57421875,0.5639488409272582,0.6354515050167224,0.5543257701531084
pooled,random_forest,base_plus_price_lags,test,ALL,256,81,0.515625,0.5140502982229601,0.5441176470588235,0.5417204697780238
pooled,logreg,base,test,TSLA,128,33,0.46875,0.48145418816015717,0.39285714285714285,0.48833210513387376
pooled,logreg,base_plus_all_lags,test,TSLA,128,153,0.5390625,0.546671579464505,0.512396694214876,0.5057725374600834
pooled,logreg,base_plus_alt_lags,test,TSLA,128,105,0.4765625,0.48624416605256693,0.42735042735042733,0.4414148857774503
pooled,logreg,base_plus_price_lags,test,TSLA,128,81,0.484375,0.49471874232375335,0.43103448275862066,0.5374600835175632
pooled,random_forest,base,test,TSLA,128,33,0.59375,0.59493981822648,0.6060606060606061,0.5445836403831983
pooled,random_forest,base_plus_all_lags,test,TSLA,128,153,0.4921875,0.4921395234586097,0.5112781954887218,0.5214934905428641
pooled,random_forest,base_plus_alt_lags,test,TSLA,128,105,0.5625,0.5622697126013264,0.582089552238806,0.5337754851387865
pooled,random_forest,base_plus_price_lags,test,TSLA,128,81,0.5,0.5079832964873496,0.4666666666666667,0.5266519282731517
pooled,logreg,base,train,AAPL,623,33,0.5457463884430177,0.5333454810495627,0.6139154160982264,0.5631299458558934
pooled,logreg,base_plus_all_lags,train,AAPL,623,153,0.6324237560192616,0.6274781341107871,0.6695526695526696,0.6909100374843815
pooled,logreg,base_plus_alt_lags,train,AAPL,623,105,0.6163723916532905,0.613228862973761,0.6490455212922174,0.6678154935443565
pooled,logreg,base_plus_price_lags,train,AAPL,623,81,0.5858747993579454,0.5786443148688046,0.6335227272727273,0.6122865472719701
pooled,random_forest,base,train,AAPL,623,33,0.8603531300160514,0.8564504373177843,0.8758915834522111,0.9444814660558102
pooled,random_forest,base_plus_all_lags,train,AAPL,623,153,0.9791332263242376,0.9777696793002916,0.9812409812409812,0.9990316534777176
pooled,random_forest,base_plus_alt_lags,train,AAPL,623,105,0.9438202247191011,0.9384839650145773,0.951048951048951,0.9937421907538525
pooled,random_forest,base_plus_price_lags,train,AAPL,623,81,0.9309791332263242,0.9291180758017492,0.937950937950938,0.985860058309038
pooled,logreg,base,train,ALL,1246,33,0.5674157303370787,0.5664358464786983,0.5888634630053394,0.5936296733325053
pooled,logreg,base_plus_all_lags,train,ALL,1246,153,0.637239165329053,0.637252618722312,0.6517719568567026,0.6999492816627333
pooled,logreg,base_plus_alt_lags,train,ALL,1246,105,0.6203852327447833,0.62122717674823,0.6307572209211554,0.6680898853144537
pooled,logreg,base_plus_price_lags,train,ALL,1246,81,0.608346709470305,0.6085527677721194,0.6222910216718266,0.6495802798824163
pooled,random_forest,base,train,ALL,1246,33,0.862760834670947,0.8622169088726038,0.8711379050489827,0.9435680867801102
pooled,random_forest,base_plus_all_lags,train,ALL,1246,153,0.9735152487961477,0.9732409017513353,0.9752066115702479,0.9974692584772078
pooled,random_forest,base_plus_alt_lags,train,ALL,1246,105,0.9526484751203852,0.9511163209539188,0.9563932002956393,0.9917582701941787
pooled,random_forest,base_plus_price_lags,train,ALL,1246,81,0.9157303370786517,0.9155229164078996,0.9207547169811321,0.9740353165238272
pooled,logreg,base,train,TSLA,623,33,0.5890850722311396,0.5918384188483836,0.5570934256055363,0.6165542283014586
pooled,logreg,base_plus_all_lags,train,TSLA,623,153,0.6420545746388443,0.643534278228219,0.631404958677686,0.7062779806482226
pooled,logreg,base_plus_alt_lags,train,TSLA,623,105,0.6243980738362761,0.6261063316209692,0.61,0.6662024715809455
pooled,logreg,base_plus_price_lags,train,TSLA,623,81,0.6308186195826645,0.6331208351385365,0.608843537414966,0.6779827113119183
pooled,random_forest,base,train,TSLA,623,33,0.8651685393258427,0.8658269893338284,0.865814696485623,0.9456994904169502
pooled,random_forest,base_plus_all_lags,train,TSLA,623,153,0.9678972712680578,0.9680633781023704,0.9686520376175548,0.9964721173485176
pooled,random_forest,base_plus_alt_lags,train,TSLA,623,105,0.9614767255216693,0.961636855026717,0.9623824451410659,0.9930061273751316
pooled,random_forest,base_plus_price_lags,train,TSLA,623,81,0.9004815409309791,0.9008788760289658,0.9018987341772152,0.9678570691753833
separate,logreg,base,test,AAPL,128,32,0.5,0.5088669950738917,0.47540983606557374,0.511576354679803
separate,logreg,base_plus_all_lags,test,AAPL,128,152,0.546875,0.5517241379310345,0.546875,0.6157635467980296
separate,logreg,base_plus_alt_lags,test,AAPL,128,104,0.5390625,0.5401477832512316,0.556390977443609,0.6002463054187193
separate,logreg,base_plus_price_lags,test,AAPL,128,80,0.5390625,0.5460591133004926,0.528,0.547783251231527
separate,random_forest,base,test,AAPL,128,32,0.4765625,0.48004926108374385,0.4806201550387597,0.5152709359605911
separate,random_forest,base_plus_all_lags,test,AAPL,128,152,0.5625,0.5571428571428572,0.6056338028169014,0.5714285714285714
separate,random_forest,base_plus_alt_lags,test,AAPL,128,104,0.5625,0.5541871921182266,0.6164383561643836,0.5931034482758621
separate,random_forest,base_plus_price_lags,test,AAPL,128,80,0.5703125,0.5746305418719212,0.5736434108527132,0.5440886699507389
separate,logreg,base,test,ALL,256,32,0.4921875,0.4965258562380865,0.4881889763779528,0.5101149849351287
separate,logreg,base_plus_all_lags,test,ALL,256,152,0.51953125,0.5217057123531944,0.5287356321839081,0.5567238516878804
separate,logreg,base_plus_alt_lags,test,ALL,256,104,0.49609375,0.49809383262620677,0.5057471264367817,0.5384000491914162
separate,logreg,base_plus_price_lags,test,ALL,256,80,0.51171875,0.5138350857775318,0.5210727969348659,0.5244419848736396
separate,random_forest,base,test,ALL,256,32,0.53125,0.5338498432023612,0.5384615384615384,0.5445489762036525
separate,random_forest,base_plus_all_lags,test,ALL,256,152,0.55859375,0.5563241714320851,0.5890909090909091,0.5724651048392055
separate,random_forest,base_plus_alt_lags,test,ALL,256,104,0.546875,0.5421508946688802,0.5886524822695035,0.5807046670356023
separate,random_forest,base_plus_price_lags,test,ALL,256,80,0.546875,0.5529730062104163,0.536,0.5363709032773781
separate,logreg,base,test,TSLA,128,32,0.484375,0.4848931466470155,0.5,0.5138786538933923
separate,logreg,base_plus_all_lags,test,TSLA,128,152,0.4921875,0.4921395234586097,0.5112781954887218,0.5006140997297961
separate,logreg,base_plus_alt_lags,test,TSLA,128,104,0.453125,0.45590763940063866,0.453125,0.47752394988946206
separate,logreg,base_plus_price_lags,test,TSLA,128,80,0.484375,0.482436747727831,0.5147058823529411,0.5087202161631048
separate,random_forest,base,test,TSLA,128,32,0.5859375,0.5876934414148858,0.5954198473282443,0.5661999508720216
separate,random_forest,base_plus_all_lags,test,TSLA,128,152,0.5546875,0.5550233357897323,0.5714285714285714,0.5723409481699829
separate,random_forest,base_plus_alt_lags,test,TSLA,128,104,0.53125,0.5295996069761729,0.5588235294117647,0.5858511422254974
separate,random_forest,base_plus_price_lags,test,TSLA,128,80,0.5234375,0.5309506263817244,0.49586776859504134,0.5303365266519283
separate,logreg,base,train,AAPL,623,32,0.5666131621187801,0.5680393586005832,0.5846153846153846,0.6170553935860058
separate,logreg,base_plus_all_lags,train,AAPL,623,152,0.7142857142857143,0.7162536443148688,0.7286585365853658,0.7810391503540192
separate,logreg,base_plus_alt_lags,train,AAPL,623,104,0.6581059390048154,0.6590014577259475,0.6767830045523521,0.741347355268638
separate,logreg,base_plus_price_lags,train,AAPL,623,80,0.6292134831460674,0.6298104956268221,0.6494688922610015,0.6781861724281549
separate,random_forest,base,train,AAPL,623,32,0.9614767255216693,0.9600947521865889,0.9653179190751445,0.9907642648896294
separate,random_forest,base_plus_all_lags,train,AAPL,623,152,0.9871589085072231,0.986698250728863,0.9883720930232558,0.9992190753852561
separate,random_forest,base_plus_alt_lags,train,AAPL,623,104,0.985553772070626,0.9845845481049562,0.9869753979739508,0.998771345272803
separate,random_forest,base_plus_price_lags,train,AAPL,623,80,0.9678972712680578,0.9675655976676385,0.9708454810495627,0.9951686797167847
separate,logreg,base,train,ALL,1246,32,0.5850722311396469,0.5857605680453775,0.5964090554254489,0.6329622614168013
separate,logreg,base_plus_all_lags,train,ALL,1246,152,0.7126805778491172,0.7133404753032749,0.7229102167182663,0.7826124083964725
separate,logreg,base_plus_alt_lags,train,ALL,1246,104,0.6540930979133226,0.6543390055065623,0.6671814671814672,0.7367563035647746
separate,logreg,base_plus_price_lags,train,ALL,1246,80,0.6460674157303371,0.6465966960626008,0.6578743211792087,0.6984354945555418
separate,random_forest,base,train,ALL,1246,32,0.9101123595505618,0.9096152651844491,0.9157894736842105,0.9676567093114727
separate,random_forest,base_plus_all_lags,train,ALL,1246,152,0.9751203852327448,0.9747469258477208,0.9767441860465116,0.9976529830662858
separate,random_forest,base_plus_alt_lags,train,ALL,1246,104,0.9759229534510433,0.9753938434148968,0.9775449101796407,0.9976607460770919
separate,random_forest,base_plus_price_lags,train,ALL,1246,80,0.9454253611556982,0.9450818738873018,0.9488721804511279,0.9838503498530204
separate,logreg,base,train,TSLA,623,32,0.6035313001605136,0.6037011821501517,0.6085578446909667,0.6455509479895195
separate,logreg,base_plus_all_lags,train,TSLA,623,152,0.7110754414125201,0.71110045181655,0.7169811320754716,0.7841286542468693
separate,logreg,base_plus_alt_lags,train,TSLA,623,104,0.6500802568218299,0.650048482597842,0.6572327044025157,0.7312413608136824
separate,logreg,base_plus_price_lags,train,TSLA,623,80,0.6629213483146067,0.6631955189701058,0.6666666666666666,0.7157269295042396
separate,random_forest,base,train,TSLA,623,32,0.8587479935794543,0.8588124858162612,0.8620689655172413,0.9456994904169502
separate,random_forest,base_plus_all_lags,train,TSLA,623,152,0.9630818619582665,0.9629004972045141,0.9643410852713178,0.9953064719110396
separate,random_forest,base_plus_alt_lags,train,TSLA,623,104,0.9662921348314607,0.9661137587423407,0.9674418604651163,0.9962658084215303
separate,random_forest,base_plus_price_lags,train,TSLA,623,80,0.9229534510433387,0.9227837263518393,0.9254658385093167,0.9732520476161004
