training_mode,model_name,feature_variant,split,ticker,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
pooled,logreg,base,test,AAPL,128,33,0.484375,0.4812807881773399,0.5217391304347826,0.4827586206896552
pooled,mlp_small,base,test,AAPL,128,33,0.5234375,0.4874384236453202,0.6666666666666666,0.493103448275862
pooled,random_forest,base,test,AAPL,128,33,0.5625,0.5527093596059114,0.6216216216216216,0.5524630541871921
pooled,logreg,base_plus_all_lags,test,AAPL,128,153,0.6171875,0.6145320197044335,0.6474820143884892,0.6443349753694582
pooled,mlp_small,base_plus_all_lags,test,AAPL,128,153,0.5,0.47931034482758617,0.6049382716049383,0.5100985221674876
pooled,random_forest,base_plus_all_lags,test,AAPL,128,153,0.59375,0.5753694581280788,0.675,0.5677339901477833
pooled,logreg,base,test,ALL,256,33,0.4765625,0.4821373670294534,0.464,0.4909303326569514
pooled,mlp_small,base,test,ALL,256,33,0.53125,0.5088237102625592,0.6407185628742516,0.5211830535571542
pooled,random_forest,base,test,ALL,256,33,0.578125,0.5743097829428765,0.6142857142857143,0.5471315255487917
pooled,logreg,base_plus_all_lags,test,ALL,256,153,0.578125,0.5810736026563366,0.5846153846153846,0.57726126790875
pooled,mlp_small,base_plus_all_lags,test,ALL,256,153,0.4921875,0.47961630695443647,0.5723684210526315,0.5069790321588883
pooled,random_forest,base_plus_all_lags,test,ALL,256,153,0.54296875,0.5344954805386459,0.6006825938566553,0.5567853409580028
pooled,logreg,base,test,TSLA,128,33,0.46875,0.48145418816015717,0.39285714285714285,0.48833210513387376
pooled,mlp_small,base,test,TSLA,128,33,0.5390625,0.5282485875706214,0.609271523178808,0.5494964382215672
pooled,random_forest,base,test,TSLA,128,33,0.59375,0.59493981822648,0.6060606060606061,0.5445836403831983
pooled,logreg,base_plus_all_lags,test,TSLA,128,153,0.5390625,0.546671579464505,0.512396694214876,0.5057725374600834
pooled,mlp_small,base_plus_all_lags,test,TSLA,128,153,0.484375,0.4787521493490543,0.5352112676056338,0.5018422991893884
pooled,random_forest,base_plus_all_lags,test,TSLA,128,153,0.4921875,0.4921395234586097,0.5112781954887218,0.5214934905428641
