ticker,model_name,feature_set,split,decision_threshold,balanced_accuracy_ci_low,balanced_accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high
AAPL,hist_gradient_boosting,price_only,test,0.5,0.44710084033613445,0.6257981597148466,0.44367264406540946,0.6506047180801378
AAPL,hist_gradient_boosting,price_plus_selected_alt,test,0.5,0.4044097407130212,0.5736282467532468,0.42964386889833617,0.6218163275584206
AAPL,logreg,price_only,test,0.5,0.42953463203463205,0.592217673338363,0.39605487060377675,0.6048702166021441
AAPL,logreg,price_plus_selected_alt,test,0.5,0.40424596339838315,0.5548465344173041,0.37444508838017965,0.5648506030701754
AAPL,mlp_small,price_only,test,0.55,0.4307980517463276,0.627159006236987,0.4300324595571464,0.6797101418197441
AAPL,mlp_small,price_plus_selected_alt,test,0.63,0.4146139791048925,0.5801159045248766,0.36468645368303576,0.5599266418462272
AAPL,random_forest,price_only,test,0.5,0.4050312748267796,0.5853982059376065,0.42911636636636635,0.635975455465587
AAPL,random_forest,price_plus_selected_alt,test,0.5,0.38717152550169626,0.5838246555669323,0.40032325206060737,0.5985412001791311
AAPL,svm_rbf,price_only,test,0.52,0.3966466729096702,0.5452429055735866,0.373614018948526,0.5823607367475292
AAPL,svm_rbf,price_plus_selected_alt,test,0.48,0.5,0.5,0.37861433110793724,0.5668766013975428
TSLA,hist_gradient_boosting,price_only,test,0.5,0.4958430571333797,0.6695165977048434,0.4846700360150817,0.6786342422009335
TSLA,hist_gradient_boosting,price_plus_selected_alt,test,0.5,0.4029964539007092,0.5756270788598374,0.4393551492826271,0.6156961096158551
TSLA,logreg,price_only,test,0.5,0.5466193219975968,0.6764512208724938,0.5464190597392058,0.6986635944700461
TSLA,logreg,price_plus_selected_alt,test,0.5,0.5041469529066614,0.6483620528452871,0.49043418418418416,0.6556755411950695
TSLA,mlp_small,price_only,test,0.49,0.5227162739662738,0.7171119792795526,0.5462722973540022,0.7307142857142858
TSLA,mlp_small,price_plus_selected_alt,test,0.68,0.48122324294738084,0.543485054347826,0.4344247157990711,0.6162657950062854
TSLA,random_forest,price_only,test,0.5,0.5368635606702648,0.6921267788724687,0.5051319247719855,0.6929503978233921
TSLA,random_forest,price_plus_selected_alt,test,0.5,0.47655890175939575,0.6457834874223728,0.4952853136446886,0.6725401046304462
TSLA,svm_rbf,price_only,test,0.51,0.52375,0.680825758245554,0.5102264963226877,0.6970588416982805
TSLA,svm_rbf,price_plus_selected_alt,test,0.3,0.5,0.5,0.485919369876947,0.659318403973895
