model_name,feature_set,split,ticker,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
logreg,alt_only,test,AAPL,128,19,0.5390625,0.5445812807881774,0.5354330708661418,0.5246305418719213
logreg,price_only,test,AAPL,128,15,0.5078125,0.4894088669950739,0.6037735849056604,0.47216748768472905
logreg,price_plus_alt,test,AAPL,128,33,0.5,0.5073891625615763,0.4838709677419355,0.5
random_forest,alt_only,test,AAPL,128,19,0.46875,0.46699507389162564,0.5,0.497783251231527
random_forest,price_only,test,AAPL,128,15,0.5390625,0.5312807881773399,0.593103448275862,0.5615763546798029
random_forest,price_plus_alt,test,AAPL,128,33,0.5078125,0.5012315270935961,0.5594405594405595,0.5046798029556651
logreg,alt_only,test,ALL,256,19,0.48828125,0.5003689356207341,0.4329004329004329,0.4912992682776856
logreg,price_only,test,ALL,256,15,0.546875,0.5468855684683023,0.5671641791044776,0.5420894053987579
logreg,price_plus_alt,test,ALL,256,33,0.5078125,0.5197073110742175,0.45689655172413796,0.509131156613171
random_forest,alt_only,test,ALL,256,19,0.5,0.505072864785095,0.49206349206349204,0.49099182192707375
random_forest,price_only,test,ALL,256,15,0.54296875,0.543288446166144,0.5617977528089888,0.5616429932976695
random_forest,price_plus_alt,test,ALL,256,33,0.515625,0.516755826108344,0.5303030303030303,0.5272704912992683
logreg,alt_only,test,TSLA,128,19,0.4375,0.4549250798329649,0.3076923076923077,0.4591009579955785
logreg,price_only,test,TSLA,128,15,0.5859375,0.6012036354704005,0.5137614678899083,0.6111520510930974
logreg,price_plus_alt,test,TSLA,128,33,0.515625,0.5310734463276836,0.42592592592592593,0.5138786538933923
random_forest,alt_only,test,TSLA,128,19,0.53125,0.5418816015720953,0.4827586206896552,0.47776958978138045
random_forest,price_only,test,TSLA,128,15,0.546875,0.5539179562760992,0.5245901639344263,0.5647261115205109
random_forest,price_plus_alt,test,TSLA,128,33,0.5234375,0.5309506263817244,0.49586776859504134,0.5443380004912797
logreg,alt_only,train,AAPL,623,19,0.5521669341894061,0.5381924198250729,0.6244952893674294,0.5522178259058725
logreg,price_only,train,AAPL,623,15,0.5425361155698234,0.5261661807580175,0.6235138705416117,0.554487713452728
logreg,price_plus_alt,train,AAPL,623,33,0.5698234349919743,0.5584912536443148,0.6318681318681318,0.572417742607247
random_forest,alt_only,train,AAPL,623,19,0.8298555377207063,0.821865889212828,0.8535911602209945,0.9266139108704706
random_forest,price_only,train,AAPL,623,15,0.8202247191011236,0.812463556851312,0.8448753462603878,0.8947625989171178
random_forest,price_plus_alt,train,AAPL,623,33,0.8667736757624398,0.8619533527696792,0.8826025459688827,0.9446376509787588
logreg,alt_only,train,ALL,1246,19,0.5537720706260032,0.5522554134062021,0.5787878787878787,0.5726591934749307
logreg,price_only,train,ALL,1246,15,0.5385232744783307,0.5378420900095227,0.5587106676899463,0.560841303357761
logreg,price_plus_alt,train,ALL,1246,33,0.5714285714285714,0.5702009067196622,0.5942249240121581,0.5957205109096179
random_forest,alt_only,train,ALL,1246,19,0.8346709470304976,0.834270069970604,0.8441754916792739,0.9187833809464663
random_forest,price_only,train,ALL,1246,15,0.8081861958266453,0.8072987827599056,0.8201655379984951,0.8847917442967747
random_forest,price_plus_alt,train,ALL,1246,33,0.8723916532905297,0.8723139982610856,0.8794541319181198,0.9472296402103257
logreg,alt_only,train,TSLA,623,19,0.5553772070626003,0.5581481710713623,0.5199306759098787,0.5899610076127993
logreg,price_only,train,TSLA,623,15,0.5345104333868379,0.5387809205504323,0.46886446886446886,0.5636669348682717
logreg,price_plus_alt,train,TSLA,623,33,0.5730337078651685,0.5752821274576551,0.5476190476190477,0.6160384559839904
random_forest,alt_only,train,TSLA,623,19,0.8394863563402889,0.8414928513956799,0.8327759197324415,0.92123125167626
random_forest,price_only,train,TSLA,623,15,0.7961476725521669,0.7976728353035836,0.7907742998352554,0.8867673454230366
random_forest,price_plus_alt,train,TSLA,623,33,0.8780096308186196,0.8793660126673681,0.8758169934640523,0.9559943058736151
