date,google_trends_score
2023-01-03,61.666666666666664
2023-01-04,61.0
2023-01-05,59.0
2023-01-06,58.0
2023-01-09,60.0
2023-01-10,61.0
2023-01-11,55.0
2023-01-12,55.0
2023-01-13,55.0
2023-01-17,56.0
2023-01-18,58.0
2023-01-19,54.0
2023-01-20,53.0
2023-01-23,57.0
2023-01-24,58.0
2023-01-25,57.0
2023-01-26,51.0
2023-01-27,55.0
2023-01-30,56.666666666666664
2023-01-31,53.0
2023-02-01,53.0
2023-02-02,54.0
2023-02-03,56.0
2023-02-06,56.0
2023-02-07,54.0
2023-02-08,55.0
2023-02-09,51.0
2023-02-10,53.0
2023-02-13,53.333333333333336
2023-02-14,51.0
2023-02-15,53.0
2023-02-16,53.0
2023-02-17,56.0
2023-02-21,53.5
2023-02-22,52.0
2023-02-23,49.0
2023-02-24,51.0
2023-02-27,55.666666666666664
2023-02-28,54.0
2023-03-01,49.0
2023-03-02,49.0
2023-03-03,50.0
2023-03-06,54.333333333333336
2023-03-07,50.0
2023-03-08,48.0
2023-03-09,49.0
2023-03-10,50.0
2023-03-13,52.0
2023-03-14,50.0
2023-03-15,51.0
2023-03-16,50.0
2023-03-17,49.0
2023-03-20,52.666666666666664
2023-03-21,51.0
2023-03-22,50.0
2023-03-23,51.0
2023-03-24,54.0
2023-03-27,52.0
2023-03-28,52.0
2023-03-29,53.0
2023-03-30,52.0
2023-03-31,51.0
2023-04-03,54.333333333333336
2023-04-04,49.0
2023-04-05,51.0
2023-04-06,51.0
2023-04-10,52.5
2023-04-11,51.0
2023-04-12,51.0
2023-04-13,49.0
2023-04-14,50.0
2023-04-17,54.333333333333336
2023-04-18,55.0
2023-04-19,54.0
2023-04-20,52.0
2023-04-21,53.0
2023-04-24,54.0
2023-04-25,50.0
2023-04-26,51.0
2023-04-27,51.0
2023-04-28,50.0
2023-05-01,53.0
2023-05-02,53.0
2023-05-03,52.0
2023-05-04,57.0
2023-05-05,55.0
2023-05-08,55.666666666666664
2023-05-09,51.0
2023-05-10,52.0
2023-05-11,52.0
2023-05-12,52.0
2023-05-15,55.666666666666664
2023-05-16,53.0
2023-05-17,51.0
2023-05-18,52.0
2023-05-19,52.0
2023-05-22,53.333333333333336
2023-05-23,50.0
2023-05-24,52.0
2023-05-25,52.0
2023-05-26,53.0
2023-05-30,54.25
2023-05-31,54.0
2023-06-01,54.0
2023-06-02,56.0
2023-06-05,71.66666666666667
2023-06-06,89.0
2023-06-07,68.0
2023-06-08,59.0
2023-06-09,56.0
2023-06-12,59.0
2023-06-13,58.0
2023-06-14,61.0
2023-06-15,54.0
2023-06-16,57.0
2023-06-20,57.25
2023-06-21,55.0
2023-06-22,54.0
2023-06-23,56.0
2023-06-26,56.333333333333336
2023-06-27,54.0
2023-06-28,53.0
2023-06-29,56.0
2023-06-30,56.0
2023-07-03,57.0
2023-07-05,55.5
2023-07-06,57.0
2023-07-07,58.0
2023-07-10,57.0
2023-07-11,65.0
2023-07-12,62.0
2023-07-13,55.0
2023-07-14,55.0
2023-07-17,58.0
2023-07-18,57.0
2023-07-19,60.0
2023-07-20,57.0
2023-07-21,51.0
2023-07-24,52.0
2023-07-25,51.0
2023-07-26,51.0
2023-07-27,50.0
