ticker,model_name,feature_set,split,n_rows,n_features,train_rows_per_feature,decision_threshold,threshold_tuned,validation_rows,validation_balanced_accuracy,accuracy,balanced_accuracy,f1,roc_auc
AAPL,hist_gradient_boosting,price_only,test,128,14,44.5,0.5,False,0.0,,0.546875,0.5339901477832512,0.618421052631579,0.5527093596059113
AAPL,hist_gradient_boosting,price_plus_alt_current,test,128,32,19.46875,0.5,False,0.0,,0.5390625,0.5386699507389162,0.562962962962963,0.529064039408867
AAPL,hist_gradient_boosting,price_plus_alt_stationary,test,128,53,11.754716981132075,0.5,False,0.0,,0.5390625,0.5283251231527094,0.6040268456375839,0.5036945812807881
AAPL,logreg,price_only,test,128,14,44.5,0.5,False,0.0,,0.5078125,0.5115763546798029,0.5116279069767442,0.4970443349753695
AAPL,logreg,price_plus_alt_current,test,128,32,19.46875,0.5,False,0.0,,0.53125,0.5315270935960591,0.5522388059701493,0.5298029556650246
AAPL,logreg,price_plus_alt_stationary,test,128,53,11.754716981132075,0.5,False,0.0,,0.5390625,0.5357142857142857,0.5755395683453237,0.5258620689655172
AAPL,random_forest,price_only,test,128,14,44.5,0.5,False,0.0,,0.5078125,0.5056650246305419,0.5401459854014599,0.5381773399014778
AAPL,random_forest,price_plus_alt_current,test,128,32,19.46875,0.5,False,0.0,,0.5,0.5014778325123153,0.5151515151515151,0.4982758620689655
AAPL,random_forest,price_plus_alt_stationary,test,128,53,11.754716981132075,0.5,False,0.0,,0.5859375,0.5682266009852217,0.6666666666666666,0.5352216748768472
AAPL,hist_gradient_boosting,price_only,train,623,14,44.5,0.5,False,0.0,,0.8828250401284109,0.8745626822157434,0.8998628257887518,0.9634943773427738
AAPL,hist_gradient_boosting,price_plus_alt_current,train,623,32,19.46875,0.5,False,0.0,,0.9598715890850722,0.956997084548105,0.9643366619115549,0.9953248646397335
AAPL,hist_gradient_boosting,price_plus_alt_stationary,train,623,53,11.754716981132075,0.5,False,0.0,,0.9823434991974318,0.9806851311953353,0.9841726618705036,0.9995210329029571
AAPL,logreg,price_only,train,623,14,44.5,0.5,False,0.0,,0.5345104333868379,0.5352769679300291,0.5552147239263804,0.5739691795085381
AAPL,logreg,price_plus_alt_current,train,623,32,19.46875,0.5,False,0.0,,0.5601926163723917,0.5599125364431488,0.5848484848484848,0.6142024156601417
AAPL,logreg,price_plus_alt_stationary,train,623,53,11.754716981132075,0.5,False,0.0,,0.6243980738362761,0.6234693877551021,0.6497005988023952,0.6755206164098293
AAPL,random_forest,price_only,train,623,14,44.5,0.5,False,0.0,,0.8812199036918138,0.877368804664723,0.8945868945868946,0.9300291545189504
AAPL,random_forest,price_plus_alt_current,train,623,32,19.46875,0.5,False,0.0,,0.9293739967897271,0.9270043731778426,0.9367816091954023,0.9760620574760517
AAPL,random_forest,price_plus_alt_stationary,train,623,53,11.754716981132075,0.5,False,0.0,,0.9662921348314607,0.9641399416909621,0.96987087517934,0.9934089962515618
ALL,hist_gradient_boosting,price_only,test,256,14,,,,,,0.5625,0.5585685297915514,0.6,0.5562319375269015
ALL,hist_gradient_boosting,price_plus_alt_current,test,256,32,,,,,,0.515625,0.518784972022382,0.5193798449612403,0.5170632724589559
ALL,hist_gradient_boosting,price_plus_alt_stationary,test,256,53,,,,,,0.5234375,0.5165098690278547,0.5763888888888888,0.531451761667589
ALL,logreg,price_only,test,256,14,,,,,,0.5546875,0.5608436327860788,0.544,0.559859804464121
ALL,logreg,price_plus_alt_current,test,256,32,,,,,,0.53125,0.5358789891163992,0.5275590551181102,0.5497140748939309
ALL,logreg,price_plus_alt_stationary,test,256,53,,,,,,0.52734375,0.5261944290721269,0.5535055350553506,0.5366783496279899
ALL,random_forest,price_only,test,256,14,,,,,,0.5625,0.5660087314763573,0.5658914728682171,0.5794133923630327
ALL,random_forest,price_plus_alt_current,test,256,32,,,,,,0.5234375,0.5286847445120826,0.5158730158730159,0.5355715427657873
ALL,random_forest,price_plus_alt_stationary,test,256,53,,,,,,0.56640625,0.5594601242083257,0.615916955017301,0.5558630019061674
ALL,hist_gradient_boosting,price_only,train,1246,14,,,,,,0.8948635634028892,0.8919130128762472,0.9047272727272727,0.9619457210284438
ALL,hist_gradient_boosting,price_plus_alt_current,train,1246,32,,,,,,0.9582664526484751,0.9579788225065209,0.9609022556390977,0.9936006914254957
ALL,hist_gradient_boosting,price_plus_alt_stationary,train,1246,53,,,,,,0.978330658105939,0.9778650685215087,0.9797752808988764,0.9987320415683352
ALL,logreg,price_only,train,1246,14,,,,,,0.5425361155698234,0.5446838901999751,0.544,0.5828313253012047
ALL,logreg,price_plus_alt_current,train,1246,32,,,,,,0.5810593900481541,0.5812528464372956,0.5953488372093023,0.6323722725955367
ALL,logreg,price_plus_alt_stationary,train,1246,53,,,,,,0.6203852327447833,0.6195296650519604,0.6397562833206397,0.6798197946424874
ALL,random_forest,price_only,train,1246,14,,,,,,0.8378812199036918,0.8376004016064258,0.8469696969696969,0.9041992713120524
ALL,random_forest,price_plus_alt_current,train,1246,32,,,,,,0.9004815409309791,0.9000486482010517,0.9066265060240963,0.9586050387115472
ALL,random_forest,price_plus_alt_stationary,train,1246,53,,,,,,0.9470304975922953,0.9461635200596199,0.9507462686567164,0.9868080569701486
TSLA,hist_gradient_boosting,price_only,test,128,14,44.5,0.5,False,0.0,,0.578125,0.5816752640628838,0.578125,0.5698845492507983
TSLA,hist_gradient_boosting,price_plus_alt_current,test,128,32,19.46875,0.5,False,0.0,,0.4921875,0.49828052075657087,0.4715447154471545,0.5067550970277572
TSLA,hist_gradient_boosting,price_plus_alt_stationary,test,128,53,11.754716981132075,0.5,False,0.0,,0.5078125,0.5041758781626136,0.5467625899280576,0.5465487595185459
TSLA,logreg,price_only,test,128,14,44.5,0.5,False,0.0,,0.6015625,0.6095553917956276,0.5785123966942148,0.6187668877425694
TSLA,logreg,price_plus_alt_current,test,128,32,19.46875,0.5,False,0.0,,0.53125,0.5394252026529108,0.5,0.5588307541144681
TSLA,logreg,price_plus_alt_stationary,test,128,53,11.754716981132075,0.5,False,0.0,,0.515625,0.5163350528125767,0.5303030303030303,0.5455661999508721
TSLA,random_forest,price_only,test,128,14,44.5,0.5,False,0.0,,0.6171875,0.6252763448784082,0.5950413223140496,0.6111520510930974
TSLA,random_forest,price_plus_alt_current,test,128,32,19.46875,0.5,False,0.0,,0.546875,0.5551461557356915,0.5166666666666667,0.568656349791206
TSLA,random_forest,price_plus_alt_stationary,test,128,53,11.754716981132075,0.5,False,0.0,,0.546875,0.5490051584377302,0.5538461538461539,0.5686563497912062
TSLA,hist_gradient_boosting,price_only,train,623,14,44.5,0.5,False,0.0,,0.9069020866773676,0.9066194219223866,0.9102167182662538,0.9614202306533803
TSLA,hist_gradient_boosting,price_plus_alt_current,train,623,32,19.46875,0.5,False,0.0,,0.956661316211878,0.9572579480514122,0.9570747217806042,0.9935528460316478
TSLA,hist_gradient_boosting,price_plus_alt_stationary,train,623,53,11.754716981132075,0.5,False,0.0,,0.9743178170144462,0.974391904437705,0.975,0.99821542778156
TSLA,logreg,price_only,train,623,14,44.5,0.5,False,0.0,,0.550561797752809,0.5522993129912731,0.5317725752508361,0.586856058261641
TSLA,logreg,price_plus_alt_current,train,623,32,19.46875,0.5,False,0.0,,0.6019261637239165,0.6021435497513977,0.6063492063492063,0.6466031235171545
TSLA,logreg,price_plus_alt_stationary,train,623,53,11.754716981132075,0.5,False,0.0,,0.6163723916532905,0.6158682511192259,0.6294573643410852,0.6847186977780528
TSLA,random_forest,price_only,train,623,14,44.5,0.5,False,0.0,,0.7945425361155698,0.795527222462916,0.7928802588996764,0.8851993975779332
